Ejercicio,Semana,Serie,Peso,Reps,Peso medio,Reps totales
Gemelos,2ª Semana Abril,1,90.0,15,90.0,86
Gemelos,2ª Semana Abril,2,90.0,14,90.0,86
Gemelos,2ª Semana Abril,3,90.0,12,90.0,86
Extensión de Cuádriceps,2ª Semana Abril,1,20.0,12,24.375,92
Extensión de Cuádriceps,2ª Semana Abril,2,25.0,12,24.375,92
Extensión de Cuádriceps,2ª Semana Abril,3,25.0,10,24.375,92
Extensión de Cuádriceps,2ª Semana Abril,4,25.0,10,24.375,92
Sentadillas,2ª Semana Abril,1,90.0,12,90.0,51
Sentadillas,2ª Semana Abril,2,90.0,10,90.0,51
Sentadillas,2ª Semana Abril,3,90.0,8,90.0,51
Zancadas,2ª Semana Abril,1,17.5,8,20.625,31
Zancadas,2ª Semana Abril,2,17.5,8,20.625,31
Zancadas,2ª Semana Abril,3,17.5,5,20.625,31
Peso Muerto,2ª Semana Abril,1,115.0,12,117.5,25
Isquios,2ª Semana Abril,1,20.0,12,21.071428571428573,77
Isquios,2ª Semana Abril,2,20.0,12,21.071428571428573,77
Isquios,2ª Semana Abril,3,20.0,11,21.071428571428573,77
Isquios,2ª Semana Abril,4,20.0,10,21.071428571428573,77
Press banca,2ª Semana Abril,1,105.0,7,91.66666666666667,28
Press banca,2ª Semana Abril,2,90.0,12,91.66666666666667,28
Press banca,2ª Semana Abril,3,80.0,9,91.66666666666667,28
Remo,2ª Semana Abril,1,80.0,8,80.0,24
Remo,2ª Semana Abril,2,80.0,8,80.0,24
Remo,2ª Semana Abril,3,80.0,8,80.0,24
Press inclinado,2ª Semana Abril,1,80.0,8,73.33333333333333,22
Press inclinado,2ª Semana Abril,2,80.0,4,73.33333333333333,22
Press inclinado,2ª Semana Abril,3,60.0,10,73.33333333333333,22
Jalon en Máquina rara,2ª Semana Abril,1,30.0,12,30.0,28
Jalon en Máquina rara,2ª Semana Abril,2,30.0,8,30.0,28
Jalon en Máquina rara,2ª Semana Abril,3,30.0,8,30.0,28
Press militar,2ª Semana Abril,1,50.0,6,50.0,16
Press militar,2ª Semana Abril,2,50.0,6,50.0,16
Press militar,2ª Semana Abril,3,50.0,4,50.0,16
Elevaciones laterales,2ª Semana Abril,1,10.0,12,13.333333333333334,42
Elevaciones laterales,2ª Semana Abril,2,15.0,15,13.333333333333334,42
Elevaciones laterales,2ª Semana Abril,3,15.0,15,13.333333333333334,42
Curl biceps,2ª Semana Abril,1,17.5,10,17.5,32
Curl biceps,2ª Semana Abril,2,17.5,8,17.5,32
Curl biceps,2ª Semana Abril,3,17.5,7,17.5,32
Curl biceps,2ª Semana Abril,4,17.5,7,17.5,32
Triceps polea,2ª Semana Abril,1,30.0,10,30.0,34
Triceps polea,2ª Semana Abril,2,30.0,10,30.0,34
Triceps polea,2ª Semana Abril,3,30.0,8,30.0,34
Triceps polea,2ª Semana Abril,4,30.0,6,30.0,34
Gemelos,2ª Semana Abril,1,90.0,17,90.0,86
Gemelos,2ª Semana Abril,2,90.0,15,90.0,86
Gemelos,2ª Semana Abril,3,90.0,13,90.0,86
Extensión de Cuádriceps,2ª Semana Abril,1,25.0,12,24.375,92
Extensión de Cuádriceps,2ª Semana Abril,2,25.0,12,24.375,92
Extensión de Cuádriceps,2ª Semana Abril,3,25.0,12,24.375,92
Extensión de Cuádriceps,2ª Semana Abril,4,25.0,12,24.375,92
Sentadillas,2ª Semana Abril,1,90.0,7,90.0,51
Sentadillas,2ª Semana Abril,2,90.0,7,90.0,51
Sentadillas,2ª Semana Abril,3,90.0,7,90.0,51
Zancadas,2ª Semana Abril,1,30.0,10,20.625,31
Peso Muerto,2ª Semana Abril,1,120.0,13,117.5,25
Isquios,2ª Semana Abril,1,22.5,12,21.071428571428573,77
Isquios,2ª Semana Abril,2,22.5,12,21.071428571428573,77
Isquios,2ª Semana Abril,3,22.5,8,21.071428571428573,77
Press banca,3ª Semana Abril,1,108.0,3,95.33333333333333,42
